parent_service_delivery_point,name,type,latitude,longitude
MTWARA,MASASI,DISTRICT,0,0
MTWARA,NANYUMBU,DISTRICT,0,0
MTWARA,NEWALA,DISTRICT,0,0
MTWARA,TANDAHIMBA,DISTRICT,0,0
MTWARA,MTWARA URBAN,DISTRICT,0,0
MTWARA,MTWARA RURAL,DISTRICT,0,0
DAR ES SALAAM,Kinondoni,DISTRICT,0,0
DAR ES SALAAM,Ilala,DISTRICT,0,0
DAR ES SALAAM,Temeke,DISTRICT,0,0
DAR ES SALAAM,Kinondoni,DISTRICT,0,0
